Plate,Well,Condition_ID,K₂HPO₄·3H₂O,NaH₂PO₄·H₂O,(NH₄)₂SO₄,Sodium citrate,CoCl₂·6H₂O,NdCl₃·6H₂O,Succinate,Methanol,PQQ
Plate_1,A10,LHS_009,20.0 mM,0.5 mM,4.641589 mM,10.0 mM,100.0 µM,2.236068 µM,0.0 mM,36.042171 mM,215.443469 nM
Plate_1,A11,LHS_010,5.848035 mM,20.0 mM,1.0 mM,1.0 mM,0.215443 µM,1.057371 µM,0.0 mM,15.0 mM,1000.0 nM
Plate_1,A2,LHS_001,5.848035 mM,5.848035 mM,4.641589 mM,0.01 mM,4.641589 µM,2.236068 µM,150.0 mM,208.089573 mM,215.443469 nM
Plate_1,A3,LHS_002,1.709976 mM,5.848035 mM,1.0 mM,1.0 mM,4.641589 µM,1.057371 µM,0.0 mM,86.60254 mM,10.0 nM
Plate_1,A4,LHS_003,0.5 mM,0.5 mM,21.544347 mM,10.0 mM,100.0 µM,4.728708 µM,1.5 mM,500.0 mM,46.415888 nM
Plate_1,A5,LHS_004,0.5 mM,0.5 mM,21.544347 mM,10.0 mM,0.01 µM,0.5 µM,0.0 mM,86.60254 mM,215.443469 nM
Plate_1,A6,LHS_005,1.709976 mM,20.0 mM,1.0 mM,0.01 mM,4.641589 µM,1.057371 µM,0.0 mM,15.0 mM,1000.0 nM
Plate_1,A7,LHS_006,1.709976 mM,1.709976 mM,21.544347 mM,10.0 mM,4.641589 µM,1.057371 µM,150.0 mM,500.0 mM,1000.0 nM
Plate_1,A8,LHS_007,5.848035 mM,5.848035 mM,4.641589 mM,0.1 mM,0.215443 µM,2.236068 µM,1.5 mM,208.089573 mM,46.415888 nM
Plate_1,A9,LHS_008,1.709976 mM,5.848035 mM,21.544347 mM,0.1 mM,0.01 µM,0.5 µM,0.0 mM,208.089573 mM,46.415888 nM
Plate_1,B1,LHS_011,5.848035 mM,0.5 mM,100.0 mM,0.01 mM,4.641589 µM,0.5 µM,0.0 mM,500.0 mM,1000.0 nM
Plate_1,B10,LHS_020,1.709976 mM,1.709976 mM,1.0 mM,0.1 mM,4.641589 µM,0.5 µM,1.5 mM,86.60254 mM,46.415888 nM
Plate_1,B11,LHS_021,5.848035 mM,20.0 mM,100.0 mM,10.0 mM,0.01 µM,10.0 µM,1.5 mM,208.089573 mM,0.0 nM
Plate_1,B12,LHS_022,20.0 mM,0.5 mM,4.641589 mM,0.1 mM,100.0 µM,2.236068 µM,150.0 mM,36.042171 mM,215.443469 nM
Plate_1,B2,LHS_012,20.0 mM,5.848035 mM,100.0 mM,0.1 mM,4.641589 µM,4.728708 µM,150.0 mM,86.60254 mM,1000.0 nM
Plate_1,B3,LHS_013,5.848035 mM,5.848035 mM,21.544347 mM,10.0 mM,4.641589 µM,2.236068 µM,150.0 mM,208.089573 mM,0.0 nM
Plate_1,B4,LHS_014,20.0 mM,0.5 mM,21.544347 mM,0.01 mM,100.0 µM,4.728708 µM,150.0 mM,36.042171 mM,1000.0 nM
Plate_1,B5,LHS_015,1.709976 mM,20.0 mM,4.641589 mM,0.01 mM,100.0 µM,4.728708 µM,0.0 mM,36.042171 mM,10.0 nM
Plate_1,B6,LHS_016,5.848035 mM,0.5 mM,21.544347 mM,10.0 mM,4.641589 µM,2.236068 µM,1.5 mM,208.089573 mM,1000.0 nM
Plate_1,B7,LHS_017,20.0 mM,5.848035 mM,4.641589 mM,0.1 mM,0.215443 µM,2.236068 µM,0.0 mM,15.0 mM,46.415888 nM
Plate_1,B8,LHS_018,1.709976 mM,0.5 mM,21.544347 mM,0.01 mM,0.01 µM,1.057371 µM,0.0 mM,500.0 mM,10.0 nM
Plate_1,B9,LHS_019,20.0 mM,5.848035 mM,1.0 mM,10.0 mM,0.01 µM,10.0 µM,1.5 mM,15.0 mM,46.415888 nM
Plate_1,C1,LHS_023,20.0 mM,20.0 mM,4.641589 mM,10.0 mM,4.641589 µM,0.5 µM,150.0 mM,36.042171 mM,46.415888 nM
Plate_1,C10,LHS_032,5.848035 mM,5.848035 mM,100.0 mM,0.01 mM,0.215443 µM,0.5 µM,0.0 mM,500.0 mM,10.0 nM
Plate_1,C11,LHS_033,20.0 mM,5.848035 mM,21.544347 mM,1.0 mM,0.01 µM,10.0 µM,150.0 mM,208.089573 mM,1000.0 nM
Plate_1,C12,LHS_034,5.848035 mM,1.709976 mM,21.544347 mM,0.01 mM,0.215443 µM,1.057371 µM,1.5 mM,500.0 mM,46.415888 nM
Plate_1,C2,LHS_024,0.5 mM,1.709976 mM,21.544347 mM,0.1 mM,4.641589 µM,1.057371 µM,150.0 mM,86.60254 mM,215.443469 nM
Plate_1,C3,LHS_025,0.5 mM,5.848035 mM,100.0 mM,0.1 mM,0.215443 µM,10.0 µM,0.0 mM,500.0 mM,10.0 nM
Plate_1,C4,LHS_026,1.709976 mM,20.0 mM,21.544347 mM,0.1 mM,0.215443 µM,4.728708 µM,150.0 mM,36.042171 mM,1000.0 nM
Plate_1,C5,LHS_027,1.709976 mM,20.0 mM,1.0 mM,0.01 mM,4.641589 µM,0.5 µM,1.5 mM,36.042171 mM,0.0 nM
Plate_1,C6,LHS_028,5.848035 mM,0.5 mM,4.641589 mM,0.01 mM,0.01 µM,2.236068 µM,1.5 mM,36.042171 mM,46.415888 nM
Plate_1,C7,LHS_029,5.848035 mM,0.5 mM,100.0 mM,10.0 mM,100.0 µM,2.236068 µM,0.0 mM,500.0 mM,215.443469 nM
Plate_1,C8,LHS_030,20.0 mM,20.0 mM,4.641589 mM,10.0 mM,100.0 µM,0.5 µM,0.0 mM,208.089573 mM,215.443469 nM
